Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Germany,DEU,4.78,4.53,4.45,4.7,5.54,5.98,6.63,6.36,5.97,6.16,7.92,8.15,6.89,5.86,4.58,4.41,7.08
Ghana,GHA,13.38,12.83,11.37,10.15,8.65,7.95,7.47,6.82,5.57,4.14,3.21,2.81,2.24,1.48,0.9,0.55,0.47
Gibraltar,GIB,5.69,5.84,5.7,5.81,5.93,6.11,5.67,6.21,6.48,6.57,6.85,6.83,6.27,5.65,5.47,3.32,5.6
Greece,GRC,4.21,4.74,5.24,5.24,5.29,5.1,5.44,6.76,7.49,7.49,7.57,6.81,6.46,5.74,5.41,4.17,6.82
Greenland,GRL,7.36,6.78,6.79,6.25,7.09,8.32,8.06,6.89,5.56,5.21,8.16,8.29,6.26,3.96,2.29,1.65,1.08
Grenada,GRD,8.21,8.23,7.7,7.04,7.67,8.42,9.4,7.74,5.59,5.2,5.1,5.42,4.61,3.24,2.3,1.63,2.52
Guam,GUM,8.56,9.41,8.57,8.02,7.75,6.78,5.78,5.2,5.3,6.12,6.42,6.03,4.93,3.95,3.15,1.77,2.26
Guatemala,GTM,11.31,11.26,10.92,10.87,10.17,9.05,7.73,6.46,5.22,4.07,3.24,2.64,2.21,1.75,1.24,0.83,1.02
Guinea,GIN,15.71,13.99,12.43,10.88,9.78,8.36,6.59,4.95,3.83,3.22,2.77,2.31,1.8,1.35,0.91,0.63,0.49
Guinea-Bissau,GNB,14.59,13.9,12.51,10.87,9.25,7.85,7,6.17,4.93,3.75,2.64,2.04,1.69,1.27,0.78,0.42,0.33
Guyana,GUY,9.9,9.64,9.36,9.28,9.58,8.82,6.78,5.89,5.96,5.63,5.14,4.45,3.52,2.43,1.64,0.95,1.01
Haiti,HTI,11.28,10.89,10.48,10.08,9.5,8.82,8.07,6.85,5.6,4.49,3.8,3.18,2.54,1.87,1.23,0.78,0.54
Honduras,HND,10.39,10.22,10.45,10.61,10.1,9.09,8.03,7.18,6.12,4.81,3.66,2.9,2.33,1.78,1.16,0.65,0.54
