Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Sint Maarten (Dutch part),SXM,2.63,3.04,6.56,11.31,12.14,4.38,0.28,0.56,5.14,11.67,13.62,11.73,7.9,4.76,2.77,1.15,0.39
Slovak Republic,SVK,5.38,5.32,5.16,4.82,5.31,6.59,7.47,7.98,8.34,7.45,6.35,6.54,6.53,6.08,4.37,2.92,3.39
Slovenia,SVN,4.84,5.24,5.12,4.51,5.03,5.53,6.52,7.21,7.64,7.15,7.15,7.15,6.8,6.41,4.78,3.61,5.31
Solomon Islands,SLB,14.53,13.39,11.64,10.19,8.94,7.65,6.68,5.91,5.12,4.41,3.56,2.64,1.87,1.35,1,0.62,0.49
Somalia,SOM,18.89,15.56,12.89,10.84,8.99,6.88,5.68,4.8,3.81,3.02,2.46,1.99,1.58,1.19,0.74,0.4,0.28
South Africa,ZAF,9.85,9.71,9.22,7.8,8.16,9.31,9.69,8.03,5.57,4.92,5.26,3.89,2.64,2.2,1.67,1.03,1.05
South Sudan,SSD,14.63,16.75,14.13,11.9,7.45,5.36,4.78,5.24,5.03,4.33,3.3,2.48,1.82,1.23,0.82,0.48,0.26
Spain,ESP,4.16,4.89,5.36,5.11,5.01,5.36,5.83,6.89,8.28,8.25,7.78,7.18,6.27,5.19,4.68,3.73,6.02
Sri Lanka,LKA,7.34,7.98,8.32,7.99,7.26,7,6.55,7.23,6.96,6.18,5.86,5.63,4.98,4.14,3.12,1.86,1.63
St. Kitts and Nevis,KNA,6.43,6.67,6.94,6.82,7.76,7.69,8.38,7.87,7.09,6.73,6.38,6.24,5.82,3.81,2.08,1.46,1.82
St. Lucia,LCA,5.87,5.92,6.78,7.49,8.58,9.13,8.27,7.78,7.13,6.91,6.75,5.92,4.55,3.22,2.4,1.65,1.64
St. Martin (French part),MAF,7.35,7.09,8.86,6.29,4.28,5.56,6.37,6.74,7.42,8.21,8.44,7.79,5.79,4.33,2.64,1.5,1.33
St. Vincent and the Grenadines,VCT,6.98,7.8,7.5,7.29,7.65,7.72,6.67,7.18,6.86,6.39,6.09,6.15,5.05,3.66,2.61,1.81,2.6
Sudan,SDN,15.66,13.63,11.89,10.19,9.12,8.06,7.13,6.03,4.51,3.35,2.7,2.33,2.07,1.59,0.96,0.47,0.32
Suriname,SUR,8.92,8.86,8.99,9.05,8.49,7.49,7.26,7.19,6.07,6.13,5.67,5.04,3.74,2.69,1.78,1.27,1.37
Sweden,SWE,5.77,6.01,5.95,5.56,5.63,7.06,7.03,6.32,6.1,6.44,6.5,6.08,5.48,5.19,5.36,4.27,5.22
Switzerland,CHE,5.07,5.07,4.93,4.88,5.55,6.52,7.14,7.18,6.88,7.02,7.63,7.38,6.08,5.01,4.64,3.79,5.27
Syrian Arab Republic,SYR,8.84,11.75,13.88,12.49,9.68,6.27,5.81,6,5.75,5.05,4.2,3.22,2.51,1.85,1.29,0.76,0.66
Tajikistan,TJK,13.32,12.64,10.53,9.32,8.87,8.73,8.28,6.31,4.9,4.25,3.76,3.37,2.5,1.5,0.79,0.43,0.52
Tanzania,TZA,16.72,14.39,12.78,10.9,8.82,7.16,6.31,5.57,4.54,3.46,2.6,2,1.62,1.26,0.92,0.54,0.4
Thailand,THA,4.85,5.52,5.71,5.9,6.86,7.08,7.05,7.36,7.11,7.27,7.6,7.37,6.5,4.92,3.5,2.27,3.13
Timor-Leste,TLS,12.1,11.79,12.04,11.92,10.23,8.28,6.86,5.3,4.15,3.9,3.38,2.6,2.07,1.93,1.71,1.05,0.68
Togo,TGO,14.85,13.52,12.12,10.41,8.88,7.74,6.77,5.86,4.99,4.08,3.25,2.54,1.92,1.41,0.92,0.48,0.25
Tonga,TON,11.72,11.99,11.38,10.59,8.42,7.13,6.05,5.84,5.11,4.8,4.66,3.41,2.72,2.16,1.64,1.13,1.25
Trinidad and Tobago,TTO,6.2,6.67,6.67,6.4,6.41,7.16,8.65,9.2,7.76,6.6,5.86,6.42,5.34,4.3,2.88,1.73,1.76
Tunisia,TUN,8.69,8.75,7.52,6.79,6.75,7.67,8.09,7.79,7.18,6.38,5.95,5.42,4.45,3.21,2.22,1.58,1.57
Turkiye,TUR,8.06,8,7.65,7.58,8.13,8.06,8.02,7.74,7.25,6.49,5.99,5,3.84,3.07,2.23,1.47,1.41
Turkmenistan,TKM,11.18,11.03,9.03,7.83,8.15,8.88,8.69,7.01,5.81,5.17,4.68,4.36,3.46,2.22,1.2,0.61,0.68
Turks and Caicos Islands,TCA,5.94,5.1,5.78,5.7,6.61,7.07,8.35,9.23,9.16,8.51,7.44,6.35,4.79,3.64,2.38,1.7,2.27
Tuvalu,TUV,11.07,10.75,9.78,8.49,8.42,8.58,7.56,5.82,4.63,4.21,4.97,5.32,4.38,2.68,1.68,0.84,0.83
Uganda,UGA,16.9,15.17,13.6,11.96,10.15,8.3,6.28,4.53,3.51,2.87,2.25,1.62,1.17,0.82,0.48,0.21,0.14
Ukraine,UKR,4.33,5.64,5.48,4.55,4.94,6.43,8.25,8.42,7.5,7.13,6.52,7.1,6.86,5.66,4.15,2.69,4.37
United Arab Emirates,ARE,6.05,6.31,5.12,3.96,7.21,13.17,16.28,14.46,10.51,6.81,4.33,2.47,1.4,0.73,0.42,0.25,0.53
United Kingdom,GBR,5.61,6.16,6.03,5.5,6.12,6.69,6.74,6.58,6.11,6.41,6.88,6.71,5.76,5.02,5,3.6,5.08
United States,USA,5.81,6.14,6.56,6.54,6.52,6.91,6.89,6.68,6.28,6.2,6.34,6.6,6.3,5.48,4.18,2.83,3.72
Uruguay,URY,6.03,6.88,6.92,7.13,7.49,7.4,6.93,6.39,6.68,6.29,5.83,5.72,5.07,4.29,3.53,2.84,4.59
Uzbekistan,UZB,11.19,9.8,8.78,7.62,8.21,9.25,8.83,7.46,6.29,5.42,4.7,4.31,3.27,2.26,1.14,0.72,0.75
Vanuatu,VUT,14.41,13.67,11.66,9.44,8.44,8.33,7.38,5.95,4.84,4.05,3.4,2.67,2.03,1.45,0.93,0.58,0.75
Venezuela,VEN,8.82,9.72,9.96,9.03,7.39,6.75,6.81,6.64,6.44,5.94,5.5,4.89,4.12,3.07,2.16,1.5,1.26
Viet Nam,VNM,7.69,7.71,7.31,7.23,7.2,8.46,8.33,8.07,7.51,6.71,5.53,5.18,4.66,3.4,2.1,1.27,1.64
Virgin Islands (U.S.),VIR,6.2,6.75,6.41,5.22,4.74,5.27,5.11,6,6.17,6.6,7.31,7.46,7.25,6.29,5.79,4.01,3.43
West Bank and Gaza,PSE,14.21,13.42,11.84,10.45,9.38,8.72,7.17,5.66,4.51,3.67,3.08,2.53,1.91,1.38,0.95,0.61,0.5
Yemen,YEM,14.5,13.46,12.22,10.79,9.76,9.18,7.72,6.03,4.44,3.31,2.54,1.9,1.42,1.05,0.8,0.51,0.36
Zambia,ZMB,15.98,14.63,13.07,10.99,9.33,8.02,6.93,5.8,4.62,3.46,2.47,1.76,1.2,0.77,0.48,0.28,0.2
Zimbabwe,ZWE,14.65,14.27,12.37,11.35,9.47,7.36,6.7,6.66,4.79,3.43,2.31,1.7,1.59,1.43,0.93,0.54,0.45
